_id,BALCONY_GUARDS,CONFIRMED_STOREYS,CONFIRMED_UNITS,ELEVATORS,ENTRANCE_DOORS_WINDOWS,ENTRANCE_LOBBY,EVALUATION_COMPLETED_ON,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,GARBAGE_BIN_STORAGE_AREA,GARBAGE_CHUTE_ROOMS,GRAFFITI,INTERIOR_LIGHTING_LEVELS,INTERIOR_WALL_CEILING_FLOOR,INTERNAL_GUARDS_HANDRAILS,LAUNDRY_ROOMS,NO_OF_AREAS_EVALUATED,OTHER_FACILITIES,PARKING_AREA,PROPERTY_TYPE,RESULTS_OF_SCORE,RSN,SCORE,SECURITY,SITE_ADDRESS,STAIRWELLS,STORAGE_AREAS_LOCKERS,WARD,WATER_PEN_EXT_BLDG_ELEMENTS,YEAR_BUILT,YEAR_REGISTERED
261634,4.0,7.0,58.0,3.0,4.0,5.0,10/19/2020,4.0,4.0,4.0,3.0,3.0,5.0,5.0,3.0,3.0,5.0,18,,3.0,TCHC,Evaluation needs to be conducted in 2 years,4155781.0,80.0,5.0,111  KENDLETON DR ,4.0,,1,5.0,1965.0,2017.0
261635,,3.0,23.0,,4.0,3.0,10/29/2020,4.0,4.0,3.0,3.0,,5.0,3.0,4.0,3.0,3.0,15,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4156367.0,75.0,5.0,4  GREENBROOK DR ,4.0,,5,4.0,1954.0,2017.0
261636,,3.0,48.0,,,,,,,,,,,,,,,0,,,PRIVATE,Evaluation needs to be conducted in 1 year,4153000.0,57.0,,1465  KING ST W,,,4,,1917.0,2017.0
261637,,3.0,15.0,,,,,,,,,,,,,,,0,,,PRIVATE,Evaluation needs to be conducted in 1 year,4153008.0,59.0,,1504  KING ST W,,,4,,1900.0,2017.0
261638,4.0,3.0,38.0,,4.0,3.0,11/05/2020,3.0,3.0,4.0,3.0,,3.0,4.0,4.0,3.0,3.0,15,,,PRIVATE,Evaluation needs to be conducted in 2 years,4153009.0,67.0,3.0,1501  QUEEN ST W,3.0,,4,3.0,1912.0,2017.0
261639,,5.0,27.0,,4.0,4.0,10/27/2020,3.0,3.0,3.0,4.0,,5.0,3.0,3.0,5.0,3.0,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4153014.0,74.0,5.0,122  DOWLING AVE ,3.0,,4,4.0,1930.0,2017.0
261640,3.0,8.0,61.0,4.0,4.0,4.0,10/23/2020,3.0,3.0,4.0,4.0,,5.0,4.0,4.0,4.0,4.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153019.0,76.0,5.0,166  JAMESON AVE ,4.0,,4,3.0,1959.0,2017.0
261641,3.0,7.0,96.0,4.0,4.0,4.0,10/28/2020,3.0,3.0,3.0,3.0,,4.0,4.0,3.0,3.0,4.0,17,,2.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153020.0,68.0,4.0,160  JAMESON AVE ,3.0,,4,4.0,1967.0,2017.0
261642,3.0,7.0,77.0,3.0,3.0,4.0,11/05/2020,4.0,3.0,3.0,4.0,,2.0,4.0,3.0,4.0,3.0,17,,2.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153021.0,66.0,5.0,1430  KING ST W,2.0,,4,4.0,1967.0,2017.0
261643,,8.0,42.0,,,,,,,,,,,,,,,0,,,TCHC,Evaluation needs to be conducted in 2 years,4153022.0,66.0,,3  LAXTON AVE ,,,4,,1953.0,2017.0
261644,4.0,8.0,47.0,4.0,4.0,3.0,11/04/2019,4.0,3.0,3.0,2.0,2.0,5.0,3.0,3.0,3.0,3.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153024.0,68.0,5.0,188  JAMESON AVE ,3.0,,4,4.0,1960.0,2017.0
261645,,12.0,50.0,5.0,4.0,4.0,12/03/2019,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,19,5.0,4.0,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4153484.0,91.0,5.0,32  GRENVILLE ST ,5.0,5.0,13,4.0,1900.0,2017.0
261646,4.0,10.0,212.0,4.0,4.0,4.0,11/13/2020,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,19,4.0,4.0,TCHC,Evaluation needs to be conducted in 2 years,4153499.0,80.0,5.0,460  JARVIS ST ,3.0,,13,4.0,1991.0,2017.0
261647,4.0,4.0,16.0,,3.0,3.0,11/17/2020,4.0,4.0,4.0,4.0,,5.0,4.0,3.0,4.0,4.0,15,,,PRIVATE,Evaluation needs to be conducted in 2 years,4153503.0,75.0,3.0,135  EARL PL ,3.0,,13,4.0,1925.0,
261648,4.0,12.0,76.0,4.0,5.0,5.0,12/03/2019,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153510.0,79.0,4.0,80  WELLESLEY ST E,3.0,,13,3.0,1963.0,2017.0
261649,3.0,3.0,10.0,,4.0,4.0,11/03/2020,3.0,4.0,4.0,4.0,,5.0,4.0,4.0,4.0,4.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153999.0,79.0,5.0,901  AVENUE RD ,4.0,4.0,12,4.0,1960.0,2017.0
261650,,3.0,18.0,,,,,,,,,,,,,,,0,,,PRIVATE,Evaluation needs to be conducted in 2 years,4154004.0,69.0,,484  ORIOLE PKWY ,,,12,,1930.0,2017.0
261651,3.0,3.0,109.0,,4.0,4.0,11/21/2019,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154011.0,77.0,5.0,118  MONTGOMERY AVE ,4.0,4.0,8,4.0,1952.0,2017.0
261652,,4.0,41.0,4.0,4.0,4.0,11/05/2020,4.0,4.0,4.0,4.0,,5.0,4.0,4.0,4.0,4.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154027.0,80.0,4.0,3112  YONGE ST ,4.0,,8,4.0,1957.0,2017.0
261653,4.0,3.0,10.0,,3.0,3.0,11/17/2020,3.0,3.0,4.0,3.0,,5.0,4.0,3.0,4.0,3.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154504.0,72.0,4.0,49  NEPTUNE DR ,4.0,4.0,8,4.0,1990.0,2017.0
261654,4.0,3.0,10.0,,4.0,3.0,12/18/2020,4.0,4.0,3.0,5.0,,5.0,5.0,4.0,3.0,4.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154505.0,80.0,4.0,8  WASDALE CRES ,4.0,,8,4.0,1957.0,2017.0
261655,,3.0,12.0,,,,,,,,,,,,,,,0,,,PRIVATE,Evaluation needs to be conducted in 1 year,4154528.0,60.0,,78  NEPTUNE DR ,,,8,,1956.0,2017.0
261656,5.0,3.0,11.0,,4.0,4.0,12/01/2020,4.0,5.0,4.0,4.0,,5.0,3.0,4.0,4.0,4.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154530.0,85.0,5.0,82  NEPTUNE DR ,4.0,,8,5.0,1969.0,2017.0
261657,5.0,3.0,11.0,,4.0,4.0,12/02/2020,4.0,4.0,4.0,3.0,,5.0,5.0,5.0,3.0,4.0,17,,5.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154538.0,85.0,5.0,104  RAJAH ST ,4.0,4.0,8,4.0,1967.0,2017.0
261658,4.0,4.0,234.0,5.0,4.0,5.0,11/04/2019,3.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,19,4.0,3.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154906.0,81.0,4.0,250  CASSANDRA BLVD ,4.0,,16,4.0,1966.0,2017.0
261659,5.0,7.0,78.0,5.0,4.0,5.0,03/05/2019,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,19,,5.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154909.0,95.0,5.0,67  PARKWOODS VILLAGE DR ,5.0,4.0,16,5.0,1962.0,2017.0
261660,5.0,5.0,64.0,5.0,3.0,5.0,10/31/2019,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,19,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154921.0,93.0,5.0,32  CLAYLAND DR ,5.0,3.0,16,5.0,1967.0,2017.0
261661,5.0,4.0,25.0,5.0,3.0,5.0,10/31/2019,5.0,3.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154925.0,93.0,5.0,1222  YORK MILLS RD ,5.0,,16,5.0,1963.0,2017.0
261662,4.0,3.0,16.0,,4.0,4.0,11/23/2020,4.0,5.0,4.0,4.0,,5.0,3.0,4.0,3.0,4.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155438.0,80.0,4.0,2366  ISLINGTON AVE ,4.0,,1,4.0,1950.0,2017.0
261663,3.0,3.0,13.0,,3.0,3.0,10/28/2019,3.0,3.0,2.0,4.0,,5.0,4.0,3.0,2.0,3.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155439.0,66.0,5.0,2362  ISLINGTON AVE ,4.0,2.0,1,4.0,1972.0,2017.0
261664,5.0,7.0,136.0,5.0,4.0,3.0,10/06/2020,5.0,4.0,3.0,2.0,,5.0,5.0,3.0,5.0,3.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155458.0,68.0,5.0,1901  MARTIN GROVE RD ,4.0,,1,5.0,1970.0,2017.0
261665,,4.0,119.0,4.0,3.0,3.0,10/28/2019,3.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0,18,5.0,2.0,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4155464.0,72.0,4.0,88  HUMBER COLLEGE BLVD ,3.0,,1,3.0,1989.0,2017.0
261666,,4.0,25.0,,4.0,3.0,11/27/2019,4.0,4.0,3.0,4.0,,5.0,3.0,4.0,3.0,3.0,15,,,PRIVATE,Evaluation needs to be conducted in 2 years,4155815.0,71.0,4.0,208  VAUGHAN RD ,3.0,2.0,12,4.0,1958.0,2017.0
261667,,4.0,92.0,5.0,5.0,5.0,12/16/2020,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,18,4.0,4.0,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4155816.0,88.0,5.0,20  SEWELLS RD ,4.0,,25,4.0,2005.0,2017.0
261668,4.0,4.0,34.0,,4.0,4.0,10/29/2020,3.0,3.0,4.0,5.0,,5.0,4.0,4.0,4.0,4.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155828.0,79.0,4.0,2561  BLOOR ST W,4.0,4.0,4,4.0,1944.0,2018.0
261669,5.0,16.0,168.0,5.0,5.0,5.0,11/07/2019,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4155839.0,93.0,5.0,2980  DON MILLS RD W,4.0,,17,4.0,1970.0,2017.0
261670,3.0,7.0,130.0,3.0,4.0,4.0,11/09/2020,3.0,3.0,3.0,3.0,,5.0,3.0,3.0,3.0,4.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155995.0,69.0,4.0,27  BERGAMOT AVE ,3.0,4.0,1,4.0,1960.0,2017.0
261671,3.0,10.0,132.0,3.0,3.0,3.0,10/31/2019,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,19,,3.0,TCHC,Evaluation needs to be conducted in 2 years,4156016.0,66.0,4.0,3735  DUNDAS ST W,3.0,2.0,4,4.0,1972.0,2017.0
261672,,6.0,84.0,,,,,,,,,,,,,,,0,,,PRIVATE,Evaluation needs to be conducted in 1 year,4156388.0,62.0,,35  TRUDELLE ST ,,,21,,1963.0,2018.0
261673,,4.0,48.0,,,,,,,,,,,,,,,0,,,TCHC,Evaluation needs to be conducted in 3 years,4156733.0,82.0,,135  NEPTUNE DR ,,,8,,1974.0,2017.0
261674,,13.0,180.0,3.0,4.0,4.0,01/12/2018,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,17,3.0,,TCHC,Evaluation needs to be conducted in 2 years,4156748.0,66.0,4.0,501  ADELAIDE ST E,2.0,,13,4.0,2009.0,2017.0
261675,5.0,4.0,33.0,,4.0,3.0,11/21/2019,5.0,3.0,5.0,4.0,,5.0,5.0,4.0,3.0,5.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 3 years,4152629.0,85.0,5.0,8  RANNOCK ST ,4.0,4.0,21,5.0,1955.0,2017.0
261676,4.0,4.0,30.0,,3.0,3.0,11/21/2019,4.0,4.0,3.0,3.0,,5.0,5.0,3.0,5.0,3.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152632.0,79.0,5.0,32  CRAIGTON DR ,4.0,5.0,21,5.0,1955.0,2017.0
261677,4.0,4.0,30.0,,4.0,4.0,11/21/2019,3.0,4.0,4.0,4.0,,5.0,5.0,3.0,4.0,3.0,17,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152635.0,79.0,5.0,860  PHARMACY AVE ,4.0,4.0,21,5.0,1955.0,2017.0
261678,4.0,4.0,59.0,4.0,4.0,4.0,11/21/2019,3.0,3.0,4.0,3.0,,5.0,3.0,4.0,4.0,4.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152639.0,74.0,4.0,1617  VICTORIA PARK AVE ,4.0,,21,3.0,1960.0,2017.0
261679,,3.0,12.0,,,,,,,,,,,,,,,0,,,PRIVATE,Evaluation needs to be conducted in 1 year,4153041.0,61.0,,1  ELM GROVE AVE ,,,4,,1931.0,2018.0
261680,,3.0,30.0,,3.0,3.0,11/04/2019,3.0,3.0,3.0,3.0,,5.0,4.0,3.0,3.0,2.0,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4153045.0,67.0,5.0,118  RONCESVALLES AVE ,3.0,,4,4.0,1940.0,2018.0
261681,4.0,4.0,39.0,,4.0,4.0,11/20/2020,4.0,4.0,4.0,3.0,,4.0,4.0,4.0,4.0,3.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153053.0,78.0,5.0,470  RONCESVALLES AVE ,4.0,,4,4.0,1960.0,2017.0
261682,,4.0,32.0,,,,,,,,,,,,,,,0,,,PRIVATE,Evaluation needs to be conducted in 2 years,4153061.0,66.0,,15  O'HARA AVE ,,,4,,1970.0,2017.0
261683,,3.0,13.0,,3.0,3.0,10/20/2020,4.0,4.0,4.0,4.0,,5.0,4.0,3.0,4.0,4.0,15,,4.0,TCHC,Evaluation needs to be conducted in 2 years,4153062.0,79.0,5.0,22  O'HARA AVE ,4.0,,4,4.0,1918.0,2017.0
261684,,11.0,299.0,,,,,,,,,,,,,,,0,,,TCHC,Evaluation needs to be conducted in 2 years,4153063.0,70.0,,20  WEST LODGE AVE ,,,4,,1959.0,2017.0
261685,,6.0,65.0,4.0,4.0,4.0,11/24/2020,4.0,4.0,4.0,3.0,,5.0,3.0,4.0,4.0,3.0,16,,,PRIVATE,Evaluation needs to be conducted in 2 years,4153519.0,76.0,4.0,26  ST JOSEPH ST ,4.0,3.0,13,4.0,1920.0,2018.0
261686,,3.0,20.0,3.0,3.0,2.0,11/19/2020,3.0,3.0,4.0,3.0,,3.0,4.0,3.0,4.0,3.0,15,,,SOCIAL HOUSING,Evaluation needs to be conducted in 1 year,4153520.0,63.0,3.0,127  ISABELLA ST ,3.0,,13,3.0,1901.0,2017.0
261687,5.0,7.0,56.0,4.0,4.0,4.0,12/03/2019,4.0,4.0,5.0,3.0,,4.0,5.0,4.0,4.0,4.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4153522.0,86.0,5.0,137  ISABELLA ST ,5.0,4.0,13,5.0,1960.0,2017.0
261688,,5.0,39.0,4.0,4.0,4.0,11/18/2020,4.0,4.0,4.0,4.0,,5.0,4.0,4.0,4.0,4.0,15,,,PRIVATE,Evaluation needs to be conducted in 2 years,4153525.0,80.0,4.0,40  EARL ST ,3.0,,13,4.0,1929.0,2017.0
261689,4.0,11.0,77.0,4.0,4.0,4.0,12/03/2019,4.0,3.0,2.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,19,,2.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153535.0,69.0,4.0,60  GLOUCESTER ST ,4.0,3.0,13,2.0,1960.0,2017.0
261690,,3.0,26.0,,4.0,3.0,12/03/2019,3.0,3.0,3.0,4.0,,5.0,3.0,4.0,3.0,4.0,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4153547.0,73.0,5.0,44  HUNTLEY ST ,3.0,,13,4.0,1915.0,2017.0
261691,4.0,4.0,67.0,5.0,5.0,4.0,12/04/2019,4.0,4.0,4.0,4.0,,5.0,4.0,4.0,4.0,5.0,17,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154043.0,87.0,5.0,506  DAWES RD ,4.0,,19,5.0,1958.0,2017.0
261692,5.0,8.0,84.0,4.0,5.0,5.0,12/05/2019,4.0,4.0,4.0,4.0,,5.0,5.0,4.0,5.0,5.0,19,5.0,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154057.0,88.0,5.0,7  PARK VISTA  ,3.0,4.0,19,4.0,1971.0,2017.0
261693,3.0,5.0,127.0,4.0,3.0,4.0,01/02/2018,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,19,4.0,3.0,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4154061.0,78.0,4.0,2701-2703  ST CLAIR AVE E,4.0,,19,4.0,1983.0,2017.0
261694,3.0,3.0,109.0,3.0,3.0,3.0,01/03/2018,3.0,3.0,3.0,2.0,3.0,5.0,3.0,4.0,4.0,3.0,18,,3.0,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4154068.0,66.0,4.0,850  O'CONNOR DR ,4.0,,19,3.0,1979.0,2017.0
261695,,3.0,36.0,,4.0,4.0,12/02/2020,5.0,4.0,4.0,4.0,,5.0,3.0,4.0,4.0,4.0,15,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154555.0,81.0,4.0,46  SARANAC BLVD ,4.0,,8,4.0,1960.0,2017.0
261696,4.0,12.0,181.0,5.0,5.0,5.0,12/14/2020,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,19,5.0,5.0,TCHC,Evaluation needs to be conducted in 3 years,4154558.0,91.0,5.0,3174  BATHURST ST ,5.0,,8,4.0,1983.0,2017.0
261697,,3.0,31.0,,4.0,5.0,10/20/2020,4.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,16,,4.0,TCHC,Evaluation needs to be conducted in 3 years,4154580.0,86.0,5.0,12  KING HIGH AVE ,5.0,,6,4.0,1962.0,2017.0
261698,4.0,17.0,81.0,5.0,5.0,5.0,11/04/2020,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,20,5.0,3.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154932.0,92.0,5.0,250  HEATH ST W,4.0,4.0,12,5.0,1975.0,2017.0
261699,,3.0,12.0,,4.0,3.0,11/28/2019,2.0,3.0,4.0,4.0,,5.0,3.0,3.0,3.0,,13,,,PRIVATE,Evaluation needs to be conducted in 2 years,4154937.0,69.0,5.0,21  RAGLAN AVE ,3.0,,12,3.0,1930.0,2017.0
261700,4.0,9.0,101.0,4.0,4.0,4.0,11/28/2019,4.0,4.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154938.0,75.0,5.0,39  RAGLAN AVE ,3.0,4.0,12,3.0,1967.0,2017.0
261701,,3.0,18.0,,3.0,3.0,11/28/2019,3.0,3.0,3.0,3.0,,3.0,4.0,4.0,4.0,2.0,15,,,PRIVATE,Evaluation needs to be conducted in 2 years,4154941.0,68.0,5.0,5  CLAXTON BLVD ,4.0,3.0,12,4.0,1937.0,2017.0
261702,4.0,4.0,86.0,4.0,3.0,4.0,11/09/2020,4.0,4.0,4.0,3.0,,5.0,4.0,3.0,3.0,3.0,17,,5.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155477.0,75.0,4.0,2355  LAKE SHORE BLVD W,3.0,,3,4.0,1958.0,2017.0
261703,4.0,8.0,132.0,4.0,4.0,4.0,11/01/2019,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,19,,2.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155478.0,73.0,4.0,2335  LAKE SHORE BLVD W,3.0,3.0,3,4.0,1967.0,2017.0
261704,,4.0,26.0,,4.0,4.0,11/19/2020,4.0,4.0,4.0,3.0,,5.0,4.0,4.0,3.0,4.0,15,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155490.0,80.0,5.0,2559  LAKE SHORE BLVD W,4.0,,3,4.0,1952.0,2017.0
261705,,4.0,26.0,,4.0,3.0,10/31/2019,4.0,4.0,4.0,3.0,,5.0,3.0,3.0,3.0,,14,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155495.0,71.0,5.0,2545  LAKE SHORE BLVD W,3.0,,3,3.0,1952.0,2017.0
261706,,3.0,16.0,,,,,,,,,,,,,,,0,,,PRIVATE,Evaluation needs to be conducted in 1 year,4155865.0,65.0,,50  GLEN EVEREST RD ,,,20,,1952.0,2018.0
261707,,14.0,181.0,3.0,4.0,3.0,10/28/2020,3.0,3.0,4.0,3.0,3.0,5.0,5.0,3.0,4.0,4.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155879.0,72.0,5.0,6200  BATHURST ST ,3.0,3.0,6,4.0,1969.0,2017.0
261708,4.0,5.0,87.0,4.0,4.0,5.0,11/20/2019,5.0,4.0,5.0,3.0,,4.0,4.0,5.0,4.0,4.0,18,,5.0,PRIVATE,Evaluation needs to be conducted in 3 years,4155890.0,86.0,5.0,740  MIDLAND AVE ,4.0,3.0,20,5.0,1959.0,2017.0
261709,,3.0,14.0,,3.0,3.0,12/01/2020,3.0,3.0,3.0,3.0,,4.0,2.0,2.0,3.0,2.0,15,,3.0,PRIVATE,Evaluation needs to be conducted in 1 year,4156035.0,55.0,2.0,1463  KINGSTON RD ,2.0,,20,3.0,1940.0,2017.0
261710,2.0,24.0,327.0,3.0,3.0,3.0,11/15/2020,3.0,3.0,3.0,4.0,3.0,5.0,3.0,2.0,3.0,4.0,18,,3.0,TCHC,Evaluation needs to be conducted in 1 year,4156038.0,61.0,3.0,375  BLEECKER ST ,2.0,,13,3.0,1969.0,2017.0
261711,3.0,4.0,201.0,3.0,3.0,3.0,10/16/2020,4.0,3.0,4.0,3.0,3.0,5.0,4.0,2.0,3.0,3.0,19,3.0,3.0,TCHC,Evaluation needs to be conducted in 1 year,4156430.0,65.0,3.0,7  ARLETA AVE ,3.0,,7,4.0,1972.0,2017.0
261712,4.0,7.0,91.0,4.0,4.0,3.0,12/17/2020,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152660.0,67.0,4.0,1911  VICTORIA PARK AVE ,2.0,4.0,21,4.0,1960.0,2017.0
261713,,7.0,104.0,4.0,5.0,5.0,11/25/2019,5.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4152665.0,88.0,5.0,2301  VICTORIA PARK AVE ,4.0,4.0,21,5.0,1960.0,2017.0
261714,4.0,9.0,124.0,4.0,4.0,4.0,11/04/2020,3.0,4.0,4.0,4.0,3.0,5.0,3.0,3.0,4.0,4.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152674.0,77.0,4.0,739  BIRCHMOUNT RD ,4.0,,20,4.0,1963.0,2017.0
261715,4.0,7.0,118.0,4.0,4.0,4.0,11/10/2020,4.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152686.0,79.0,4.0,2293  EGLINTON AVE E,4.0,,20,4.0,1960.0,2017.0
261716,,4.0,13.0,,,,,,,,,,,,,,,0,,,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4153106.0,66.0,,223  OSLER ST ,,,9,,1992.0,2017.0
261717,,8.0,104.0,3.0,4.0,4.0,11/25/2019,4.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,19,4.0,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153109.0,76.0,5.0,2  REGAL RD ,3.0,3.0,9,4.0,1955.0,2017.0
261718,,4.0,23.0,,4.0,4.0,11/25/2019,4.0,4.0,4.0,4.0,,3.0,5.0,5.0,4.0,4.0,14,,,PRIVATE,Evaluation needs to be conducted in 3 years,4153110.0,83.0,5.0,927  ST CLAIR AVE W,4.0,,9,4.0,1929.0,2018.0
261719,,4.0,24.0,,,,,,,,,,,,,,,0,,,PRIVATE,Evaluation needs to be conducted in 1 year,4153111.0,57.0,,925  ST CLAIR AVE W,,,9,,1930.0,2017.0
261720,,9.0,251.0,,,,,,,,,,,,,,,0,,,TCHC,Evaluation needs to be conducted in 2 years,4153559.0,69.0,,15  SCADDING AVE ,,,10,,1982.0,2017.0
261721,,3.0,26.0,,4.0,4.0,12/15/2020,4.0,3.0,4.0,5.0,,5.0,3.0,4.0,4.0,3.0,14,,,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4153582.0,77.0,4.0,280  GERRARD ST E,3.0,,13,4.0,1991.0,2017.0
261722,4.0,24.0,383.0,4.0,4.0,5.0,12/05/2019,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154076.0,83.0,5.0,90  EASTDALE AVE ,4.0,,19,3.0,1969.0,2017.0
261723,5.0,22.0,303.0,4.0,5.0,5.0,12/04/2019,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,19,5.0,3.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154077.0,89.0,5.0,2  SECORD AVE ,4.0,,19,4.0,1971.0,2017.0
261724,4.0,20.0,304.0,3.0,4.0,3.0,12/04/2019,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,19,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154081.0,78.0,4.0,1501  WOODBINE AVE ,4.0,3.0,19,5.0,1968.0,2017.0
261725,5.0,6.0,38.0,5.0,4.0,5.0,12/04/2019,3.0,4.0,3.0,4.0,,5.0,5.0,4.0,4.0,5.0,18,,5.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154098.0,87.0,5.0,240  COSBURN AVE ,4.0,5.0,14,3.0,1959.0,2017.0
261726,4.0,6.0,41.0,4.0,5.0,4.0,12/09/2019,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,20,5.0,4.0,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4154109.0,90.0,5.0,156  FLOYD AVE ,5.0,4.0,14,4.0,1992.0,2017.0
261727,,3.0,11.0,,4.0,4.0,10/21/2020,4.0,4.0,4.0,4.0,,5.0,3.0,4.0,4.0,3.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154588.0,76.0,5.0,21  ROSSEAU RD ,4.0,3.0,6,3.0,1955.0,2017.0
261728,,3.0,40.0,,,,,,,,,,,,,,,0,,,TCHC,Evaluation needs to be conducted in 2 years,4154611.0,66.0,,2  FAYWOOD BLVD ,,,6,,1989.0,2017.0
